;CO2 Prc;CO2 Vol;Germany_Baseload;BKW;RWE;Verbund
02.11.12;11.23;0;46.75;35.5;35.245;18.145
05.11.12;11.4;0;46.6;34.9;35.075;18.015
06.11.12;11.51;0;47.2;34.25;35.255;17.995
07.11.12;11.35;0;46.85;32.7;34.425;17.5
08.11.12;11.43;0;47.12;32.65;33.53;17.225
09.11.12;11.53;0;46.95;32.85;33.125;17.255
12.11.12;12.47;0;47.8;32.45;33.415;17.23
13.11.12;11.7;0;47.35;32.05;32.945;17.22
14.11.12;11.14;0;47.45;31.8;32.94;17.325
15.11.12;10.26;0;47.15;33.95;32.71;16.72
16.11.12;10.01;0;47.05;32.45;31.865;16.395
19.11.12;9.77;0;46.75;33.7;32.005;16.65
20.11.12;9.79;0;46.7;33.35;31.63;16.65
21.11.12;9.87;0;46.5;33.5;32.13;16.57
22.11.12;9.88;0;46.5;32.7;32.15;16.61
23.11.12;10.12;0;46.65;31.75;32.47;17.3
26.11.12;9.94;0;46.3;32.45;32.002;17.305
27.11.12;9.99;0;46.3;32.35;31.88;17.45
28.11.12;9.98;0;46.2;31.75;31.695;17.64
29.11.12;9.73;0;46.15;31;32.135;17.755
30.11.12;9.27;0;46.05;32;32.095;17.58
03.12.12;8.97;0;46.2;31;32.015;17.625
04.12.12;8.7;0;46.1;31.2;32.24;17.6
05.12.12;9.12;0;46.1;32.05;32.335;17.825
06.12.12;9.38;0;46.05;32;31.82;18.39
07.12.12;9.82;0;45.95;32.5;31.58;18.13
10.12.12;10.18;0;45.9;32.6;31.21;17.985
11.12.12;9.87;0;45.65;31.75;31.995;18.235
12.12.12;9.75;0;45.55;31.5;32.035;18.35
13.12.12;9.66;250;45.45;31.4;30.96;18.45
14.12.12;9.58;0;45.5;30.75;31.25;18.7
17.12.12;9.39;0;45.3;31.3;31.265;18.65
18.12.12;9.63;0;45.45;31.6;31.735;18.7
19.12.12;9.95;0;45.35;31.55;31.725;18.65
20.12.12;10.07;0;45.15;30;31.87;18.77
21.12.12;9.88;0;45;31.45;31.315;19
27.12.12;9.74;0;44;31;31.48;19
28.12.12;9.33;0;44.05;31.4;31.24;18.76
03.01.13;8.97;0;45.2;30.95;31.62;19.94
04.01.13;8.83;0;45.15;32.45;31.915;19.745
07.01.13;9.17;0;45.25;33;31.03;19.495
08.01.13;8.97;0;45;33.5;31.03;19.075
09.01.13;8.68;0;44.75;33.65;31.075;18.55
10.01.13;8.61;0;44.4;33.65;30.775;17.92
11.01.13;8.42;0;44.25;33.6;30.07;17.59
14.01.13;8.4;0;43.75;33.75;29.76;17.495
15.01.13;8.61;0;43.95;33.55;28.875;17.365
16.01.13;8.14;345;43.55;31.15;28.975;17.58
17.01.13;8.1;0;43.05;31.6;29.425;17.77
